Bedrijfsnaam,Producten,Sector,Aantal trucks gestationeerd op terrein,Movements van trucks,uitbesteding van trucks,Aantal bestelbussen gestationeerd op terrein,Aantal elektrische voertuigen,Aantal personen auto's,Gemiddeld gewicht vrachtwagens,Internationaal/Binnenlands,Aantal parkeerplekken,Aantal bezette parkeerplekken ,Aantal laad/losplekken,Aantal bezette laad/losplekken,Adres,Lat,LNG,Opmerking,
Keelings Fresh International Limited,"Groenten, fruit, bloemen",Handel,,8,3,1,1,27,30000,Internationaal,34,21,3,2,"Handelsweg 40, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,neemt niet op,
KivitsGoes Handling,,Logistiek/Opslag,150,125,0,1,4,102,30000,Internationaal,127,36,50,9,"Handelscentrum ZHZ 40b, 2991 LD barendrecht, nederland",51.8590352,4.553874168,,
Koninklijke Euser,,"transport, logistiek",100,25,0,3,10,242,28000,Internationaal,303,146,10,0,"Ebweg 7, 2991 LS barendrecht, nederland",51.85284498,4.561533474,,
Koring,"Expeditie, zakelijke dienstverlenening",Logistiek,,13,5,1,0,8,28000,Internationaal,10,3,5,0,"Zweth 26, 2991 LH barendrecht, nederland",51.86150304,4.549010504,willen niet mee werken,
Lazy Foods,"Levensmiddelen (dips, spreads)","Verwerking, productie",,15,6,1,1,32,30000,Binnenlands,40,21,6,3,"Handelsweg 150, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,16:30 terugbellen,
LCL Logistics,Logistiek dienstverlener perishables,"Transport, logistiek",,28,11,1,1,32,30000,Binnenlands,40,19,11,6,"Handelsweg 40, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,willen niet mee werken,
Looije Packing,"Verpakken, behandelen groenten, fruit",logistiek,0,0,0,1,10,32,30000,Internationaal,40,16,0,0,"Peterselieweg 110, 2988 DH ridderkerk, nederland",51.861297,4.569637,,
Meeder Group,"Groenten, fruit, zuivel",logistiek,5,30,0,0,20,63,24000,Internationaal,79,39,12,3,"Donk 15, 2991 LE barendrecht, nederland",51.86267117,4.551342098,Alle personeels autos moeten electrisch zijn,
Niva Fresh International,"Groenten, fruit",Handel,0,0,,0,4,10,30000,Internationaal,,,,,"Handelsweg 30, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,,
OV Fruit B.V.,Fruit,Handel,,55,22,1,5,132,30000,Internationaal,165,35,22,0,"Selderijweg 90, 2988 DG, ridderkerk, nederland",51.8605,4.569903,,
Purnatur,Fruit,Handel,0,28,11,0,1,32,30000,Internationaal,40,19,11,6,"Handelsweg 40, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,,
R&M Forwarding,Logistieke dienstverlening,Logistiek,0,130,52,0,10,88,32000,Internationaal,110,19,52,9,"Peterselieweg 110-112, 2988 DH ridderkerk, nederland",51.861297,4.569637,,
ReFruit B.V.,Avocado olie,Verwerking,,18,7,1,2,52,30000,Internationaal,65,31,7,1,"Handelsweg 190, 2988 DC ridderkerk, nederland",51.8609276,4.56141703,,
Rivafruit B.V.,"Groenten, fruit",Handel,,10,4,1,1,24,28000,Internationaal,30,12,4,4,"Koopliedenweg 5, 2991 LN, barendrecht, nederland",51.85637944,4.559407682,willen niet mee werken,
Rungis B.V.,"Groenten, fruit, groothandel",Handel,5,15,2,20,1,12,28000,Internationaal,15,14,6,0,"Transportweg 34, 2991 LV barendrecht, nederland",51.85658009,4.557840765,,
Sawari Fresh International B.V.,Groenten,Handel,0,10,4,0,2,12,28000,Internationaal,15,9,4,1,"Transportweg 22, 2991 LV barendrecht, nederland",51.85658009,4.557840765,,
The Greenery,Voedsel,Logistiek,50,315,150,1,7,80,30000,Internationaal,100,15,126,3,"Spoorwegemplacement 1, 2991 VT barendrecht, nederland",51.85337066,4.557379284,,
Torres Tropical B.V.,Fruit,Handel,0,0,0,1,0,5,30000,Internationaal,6,4,0,0,"Zuideinde 73, 2991 LJ barendrecht, nederland",51.8584882,4.551596527,1530 terugbellen,
Van Gelder Groente & Fruit,AGF,"Handel,logistiek",60,98,0,1,3,80,30000,Internationaal,100,21,39,13,"Krommeweg 10, 2988 CB ridderkerk, nederland",51.86787457,4.560117992,,
Van Ooijen Citrus B.V.,"Groenten, fruit",Handel,0,15,6,0,0,5,35000,Internationaal,6,5,6,4,"Handelsweg 149, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,,
Van Vugt Kruiden,"Groenten, kruiden",Handel,,10,4,1,2,40,30000,Internationaal,50,39,4,4,"Hoogzandweg 16, 2988 DA ridderkerk, nederland",51.8605257,4.576871158,willen niet mee werken,
VDH Forwarding & Warehousing B.V.,"Logistieke dienstverlening (warehousing, vervoer etc.)",Logistiek ,60,38,0,1,4,16,32000,Internationaal,20,14,15,11,"Handelsweg 180, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,,
VerDi Import B.V.,"Groenten, fruit","Handel, logistiek",0,15,6,0,7,10,30000,Internationaal,12,7,6,4,"Koopliedenweg 38, 2991 LN barendrecht, nederland",51.85637944,4.559407682,,
Verita Holland B.V.,Fruit,Handel,,25,10,1,0,5,30000,Internationaal,6,3,10,7,"Handelsweg 35, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,willen niet mee werken,
Very Fruity B.V.,Fruit (retail),Detailhandel (D2C),0,0,0,0,1,3,30000,Internationaal,,,,,"Handelsweg 180, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,,
VGK Cool Logistics B.V.,Koel/vrieslogistiek,"Logistiek, transport",0,55,22,0,4,80,38000,Internationaal,100,71,22,12,"Selderijweg 90, 2988 DG ridderkerk, nederland",51.8605,4.569903,,
Zoutewelle Import Export B.V.,"Groenten, fruit","Handel, logistiek",,38,15,,2,40,30000,Internationaal,50,13,15,10,"Handelsweg 140, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,willen niet mee werken,
,,,,,,,,,,,,,,,,,,,
,,,,laad/los plek word 2 tot 3x per dag gebruikt,,,4% van de autos zijn elektrisch,80% van de parkeerplekken is bezet,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
